// this dataset is used to predict the quality of red wine based on various physicochemical properties.

// you can visit
//    http://archive.ics.uci.edu/ml/datasets/Wine+Quality
// to see more about this dataset.

// the number of features

20

// The feature names followed by a dash and then the legal values of this feature

fixedAcidityGt47 - T F

volatileAcidityGt17 - T F
volatileAcidityGt29 - T F

citricAcidGt30 - T F

residualSugarGtMean - T F

chloridesGt9 - T F

freeSulfurDioxideGtMean - T F

totalSulfurDioxideGt27 - T F
totalSulfurDioxideGt37 - T F
totalSulfurDioxideGt54 - T F

densityGt18 - T F
densityGt41 - T F

pHGtMean - T F

sulphatesGt12 - T F
sulphatesGt15 - T F
sulphatesGt19 - T F
sulphatesGt44 - T F

alcoholGt22 - T F
alcoholGt33 - T F
alcoholGt47 - T F

// the class labels

lowToMid
midToHigh

// the number of examples (will read this many in; ok to have more in the file)

892

// the examples

trainEx628 midToHigh T F F T F F F F F F T T F T T T F T T F
trainEx854 midToHigh F T T F F T F F F F T F T T F F F T T T
trainEx483 lowToMid F T T F F F T F F F T T T T T T F F F F
trainEx333 midToHigh F T F T F F T F F F T T F T T T F T F F
trainEx353 lowToMid F T T F T T F F F F T T T F F F F T T T
trainEx721 midToHigh F T F F F T F F F F T T F F F F F F F F
trainEx118 lowToMid T T T T T T F F F F T T F T T T F F F F
trainEx49 lowToMid F T T F F T F F F F T F T F F F F T T F
trainEx48 midToHigh F T F T F F F F F F T F F T T T F T T F
trainEx760 lowToMid F T T F F T F F F F T T T T T T F T F F
trainEx620 lowToMid F T F F F F T F F F T F T T T F F F F F
trainEx861 midToHigh F T F T T T T F F F T T T T T T F F F F
trainEx607 midToHigh F T T F F T T T F F T T F T F F F F F F
trainEx18 midToHigh F T F F F T F F F F T T F T T T F F F F
trainEx527 midToHigh F F F T F T T F F F T T F T T T F T F F
trainEx97 midToHigh F T F T F T F F F F T T T T T F F T F F
trainEx409 midToHigh F T F F F T T F F F T F T F F F F F F F
trainEx744 midToHigh T T T T T T F F F F T T F T T T F T T F
trainEx452 midToHigh F F F T F T T F F F T T T T T T F T F F
trainEx452 midToHigh F F F T F T T F F F T T T T T T F T F F
trainEx166 lowToMid F T F T F T F F F F T T T T F F F F F F
trainEx307 midToHigh F T T F F T T T F F T T T T F F F F F F
trainEx615 midToHigh F F F T F T T F F F T T T T T T F T T F
trainEx293 midToHigh F F F T F F T F F F T T F T T T T T F F
trainEx65 lowToMid F T T F F T F F F F T T T T F F F F F F
trainEx773 lowToMid F T F T F T F F F F T T T F F F F F F F
trainEx160 midToHigh F T F T F T F F F F T T T T F F F F F F
trainEx761 lowToMid T F F T T T F F F F T T F T T F F T T F
trainEx775 midToHigh F F F T F T F F F F T F T T T T F T T T
trainEx667 lowToMid F T T F F T T T T F T F T F F F F T F F
trainEx300 midToHigh F F F T T T F F F F T T F T T T F T T T
trainEx209 midToHigh F T F F F F T F F F T F F T T T F F F F
trainEx739 midToHigh F F F T F F F F F F T F T T F F F T T T
